tbl,fld,type
erdCalCOFIinvcnt,cruise,numeric
erdCalCOFIinvcnt,ship,character
erdCalCOFIinvcnt,ship_code,character
erdCalCOFIinvcnt,order_occupied,numeric
erdCalCOFIinvcnt,tow_type,character
erdCalCOFIinvcnt,tow_number,numeric
erdCalCOFIinvcnt,net_location,character
erdCalCOFIinvcnt,time,POSIXct
erdCalCOFIinvcnt,latitude,numeric
erdCalCOFIinvcnt,longitude,numeric
erdCalCOFIinvcnt,line,numeric
erdCalCOFIinvcnt,station,numeric
erdCalCOFIinvcnt,standard_haul_factor,numeric
erdCalCOFIinvcnt,volume_sampled,numeric
erdCalCOFIinvcnt,proportion_sorted,numeric
erdCalCOFIinvcnt,scientific_name,character
erdCalCOFIinvcnt,common_name,character
erdCalCOFIinvcnt,itis_tsn,numeric
erdCalCOFIinvcnt,calcofi_species_code,numeric
erdCalCOFIinvcnt,invert_count,numeric
erdCalCOFIinvcnt,inverts_10m2,numeric
erdCalCOFIinvcnt,inverts_100m3,numeric
erdCalCOFIinvsiz,cruise,numeric
erdCalCOFIinvsiz,ship,character
erdCalCOFIinvsiz,ship_code,character
erdCalCOFIinvsiz,order_occupied,numeric
erdCalCOFIinvsiz,tow_type,character
erdCalCOFIinvsiz,tow_number,numeric
erdCalCOFIinvsiz,net_location,character
erdCalCOFIinvsiz,time,POSIXct
erdCalCOFIinvsiz,latitude,numeric
erdCalCOFIinvsiz,longitude,numeric
erdCalCOFIinvsiz,line,numeric
erdCalCOFIinvsiz,station,numeric
erdCalCOFIinvsiz,standard_haul_factor,numeric
erdCalCOFIinvsiz,volume_sampled,numeric
erdCalCOFIinvsiz,proportion_sorted,numeric
erdCalCOFIinvsiz,scientific_name,character
erdCalCOFIinvsiz,common_name,character
erdCalCOFIinvsiz,itis_tsn,numeric
erdCalCOFIinvsiz,calcofi_species_code,numeric
erdCalCOFIinvsiz,invert_size,numeric
erdCalCOFIinvsiz,invert_count,numeric
erdCalCOFIinvsiz,inverts_10m2,numeric
erdCalCOFIinvsiz,inverts_100m3,numeric
