tbl_old,tbl_new,fld_old,fld_new,type_old,type_new,order_old,order_new,fld_description,units,notes,mutation
erdCalCOFIinvcnt,invert_count,cruise,cruise,String,varchar,1,1,CalCOFI cruise identifier,,,
erdCalCOFIinvcnt,invert_count,ship,ship_name,String,varchar,2,2,ship name,,,
erdCalCOFIinvcnt,invert_count,ship_code,ship_code,String,varchar,3,3,NODC ship code,,,
erdCalCOFIinvcnt,invert_count,order_occupied,order_occupied,short,integer,4,4,order station was occupied on cruise,,,
erdCalCOFIinvcnt,invert_count,tow_type,tow_type,String,varchar,5,5,type of net tow,,,
erdCalCOFIinvcnt,invert_count,tow_number,tow_number,int,integer,6,6,sequential tow number at station,,,
erdCalCOFIinvcnt,invert_count,net_location,net_location,String,varchar,7,7,net position in tow array,,,
erdCalCOFIinvcnt,invert_count,time,time_start,String,timestamp,8,8,start time of tow (UTC),,,
erdCalCOFIinvcnt,invert_count,latitude,latitude,double,double,9,9,latitude of tow,degrees_north,,
erdCalCOFIinvcnt,invert_count,longitude,longitude,double,double,10,10,longitude of tow,degrees_east,,
erdCalCOFIinvcnt,invert_count,line,line,double,double,11,11,CalCOFI line number,,,
erdCalCOFIinvcnt,invert_count,station,station,double,double,12,12,CalCOFI station number,,,
erdCalCOFIinvcnt,invert_count,standard_haul_factor,standard_haul_factor,double,double,13,13,factor to standardize haul to reference tow,,,
erdCalCOFIinvcnt,invert_count,volume_sampled,volume_sampled,double,double,14,14,volume of water filtered by net,m3,,
erdCalCOFIinvcnt,invert_count,proportion_sorted,proportion_sorted,double,double,15,15,proportion of sample sorted for invertebrates,,,
erdCalCOFIinvcnt,invert_count,scientific_name,scientific_name,String,varchar,16,16,species scientific name,,,
erdCalCOFIinvcnt,invert_count,common_name,common_name,String,varchar,17,17,species common name,,,
erdCalCOFIinvcnt,invert_count,itis_tsn,itis_tsn,int,integer,18,18,ITIS taxonomic serial number,,,
erdCalCOFIinvcnt,invert_count,calcofi_species_code,calcofi_species_code,int,integer,19,19,CalCOFI species code,,,
erdCalCOFIinvcnt,invert_count,invert_count,invert_count,int,integer,20,20,raw specimen count,,,
erdCalCOFIinvcnt,invert_count,inverts_10m2,inverts_10m2,float,double,21,21,standardized count per 10 m2 surface area,count/10m2,,
erdCalCOFIinvcnt,invert_count,inverts_100m3,inverts_100m3,float,double,22,22,standardized count per 100 m3 water volume,count/100m3,,
erdCalCOFIinvsiz,invert_size,cruise,cruise,String,varchar,1,1,CalCOFI cruise identifier,,,
erdCalCOFIinvsiz,invert_size,ship,ship_name,String,varchar,2,2,ship name,,,
erdCalCOFIinvsiz,invert_size,ship_code,ship_code,String,varchar,3,3,NODC ship code,,,
erdCalCOFIinvsiz,invert_size,order_occupied,order_occupied,short,integer,4,4,order station was occupied on cruise,,,
erdCalCOFIinvsiz,invert_size,tow_type,tow_type,String,varchar,5,5,type of net tow,,,
erdCalCOFIinvsiz,invert_size,tow_number,tow_number,int,integer,6,6,sequential tow number at station,,,
erdCalCOFIinvsiz,invert_size,net_location,net_location,String,varchar,7,7,net position in tow array,,,
erdCalCOFIinvsiz,invert_size,time,time_start,String,timestamp,8,8,start time of tow (UTC),,,
erdCalCOFIinvsiz,invert_size,latitude,latitude,double,double,9,9,latitude of tow,degrees_north,,
erdCalCOFIinvsiz,invert_size,longitude,longitude,double,double,10,10,longitude of tow,degrees_east,,
erdCalCOFIinvsiz,invert_size,line,line,double,double,11,11,CalCOFI line number,,,
erdCalCOFIinvsiz,invert_size,station,station,double,double,12,12,CalCOFI station number,,,
erdCalCOFIinvsiz,invert_size,standard_haul_factor,standard_haul_factor,double,double,13,13,factor to standardize haul to reference tow,,,
erdCalCOFIinvsiz,invert_size,volume_sampled,volume_sampled,double,double,14,14,volume of water filtered by net,m3,,
erdCalCOFIinvsiz,invert_size,proportion_sorted,proportion_sorted,double,double,15,15,proportion of sample sorted for invertebrates,,,
erdCalCOFIinvsiz,invert_size,scientific_name,scientific_name,String,varchar,16,16,species scientific name,,,
erdCalCOFIinvsiz,invert_size,common_name,common_name,String,varchar,17,17,species common name,,,
erdCalCOFIinvsiz,invert_size,itis_tsn,itis_tsn,int,integer,18,18,ITIS taxonomic serial number,,,
erdCalCOFIinvsiz,invert_size,calcofi_species_code,calcofi_species_code,int,integer,19,19,CalCOFI species code,,,
erdCalCOFIinvsiz,invert_size,invert_size,invert_size,float,double,20,20,specimen size measurement,mm,,
erdCalCOFIinvsiz,invert_size,invert_count,invert_count,int,integer,21,21,raw specimen count,,,
erdCalCOFIinvsiz,invert_size,inverts_10m2,inverts_10m2,float,double,22,22,standardized count per 10 m2 surface area,count/10m2,,
erdCalCOFIinvsiz,invert_size,inverts_100m3,inverts_100m3,float,double,23,23,standardized count per 100 m3 water volume,count/100m3,,
