"taxon_key","scientific_name","common_name","candidates_en","n_candidates_en","source","checked_date","notes"
"itis:158852","Chordata",,,0,,"2026-08-14",
"itis:174466","Gaviiformes",,,0,,"2026-08-14",
"itis:174467","Gaviidae",,"divers | loons",2,"worms","2026-08-14","multiple English vernaculars - pick one"
"itis:174468","Gavia",,,0,,"2026-08-14",
"itis:174476","Podicipediformes",,,0,,"2026-08-14",
"itis:174477","Podicipedidae","grebes","grebes",1,"worms","2026-08-14",
"itis:174478","Podiceps",,,0,,"2026-08-14",
"itis:174502","Aechmophorus",,,0,,"2026-08-14",
"itis:174512","Procellariiformes",,,0,,"2026-08-14",
"itis:174513","Diomedeidae","albatrosses","albatrosses",1,"worms","2026-08-14",
"itis:174532","Procellariidae",,"fulmars | petrels & prions | shearwaters",3,"worms","2026-08-14","multiple English vernaculars - pick one"
"itis:174535","Fulmarus",,,0,,"2026-08-14",
"itis:174543","Puffinus",,,0,,"2026-08-14",
"itis:174566","Pterodroma",,,0,,"2026-08-14",
"itis:174609","Procellaria",,,0,,"2026-08-14",
"itis:174619","Hydrobatidae","storm petrels","storm petrels",1,"worms","2026-08-14",
"itis:174649","Oceanites",,,0,,"2026-08-14",
"itis:174662","Hydrobates",,,0,,"2026-08-14",
"itis:174670","Pelecaniformes",,,0,,"2026-08-14",
"itis:174671","Phaethontidae","tropicbirds","tropicbirds",1,"worms","2026-08-14",
"itis:174672","Phaethon",,,0,,"2026-08-14",
"itis:174682","Pelecanidae","pelicans","pelicans",1,"worms","2026-08-14",
"itis:174683","Pelecanus",,,0,,"2026-08-14",
"itis:174696","Sulidae","gannets & boobies","gannets & boobies",1,"worms","2026-08-14",
"itis:174697","Sula","gannets and boobies","gannets and boobies",1,"worms","2026-08-14",
"itis:174713","Phalacrocoracidae","cormorants","cormorants",1,"worms","2026-08-14",
"itis:174982","Anseriformes",,,0,,"2026-08-14",
"itis:174983","Anatidae","swans, geese & ducks","swans, geese & ducks",1,"worms","2026-08-14",
