taxon_group_key,description,rule,rule_value,dataset_key,match_column,match_value
calcofi:seabirds,Seabirds (CalCOFI seabird & mammal census),class,Aves,,,
calcofi:marine_mammals,Marine mammals (CalCOFI seabird & mammal census),class,Mammalia,,,
calcofi_phytoplankton:coccolithophore,Phytoplankton functional group: coccolithophore,dataset_taxon,,calcofi_phytoplankton,ds_common_name,coccolithophore
calcofi_phytoplankton:diatom_centric,"Phytoplankton functional group: diatom, centric",dataset_taxon,,calcofi_phytoplankton,ds_common_name,"diatom, centric"
calcofi_phytoplankton:diatom_pennate,"Phytoplankton functional group: diatom, pennate",dataset_taxon,,calcofi_phytoplankton,ds_common_name,"diatom, pennate"
calcofi_phytoplankton:dinoflagellate_athecate,"Phytoplankton functional group: dinoflagellate, athecate",dataset_taxon,,calcofi_phytoplankton,ds_common_name,"dinoflagellate, athecate"
calcofi_phytoplankton:dinoflagellate_thecate,"Phytoplankton functional group: dinoflagellate, thecate",dataset_taxon,,calcofi_phytoplankton,ds_common_name,"dinoflagellate, thecate"
calcofi_phytoplankton:other,Phytoplankton functional group: other,dataset_taxon,,calcofi_phytoplankton,ds_common_name,other
calcofi_phytoplankton:silicoflagellate,Phytoplankton functional group: silicoflagellate,dataset_taxon,,calcofi_phytoplankton,ds_common_name,silicoflagellate
calcofi_phytoplankton:undefined_code_not_in_source_definitions_q05_,Phytoplankton functional group: undefined (code not in source definitions; Q05),dataset_taxon,,calcofi_phytoplankton,ds_common_name,undefined (code not in source definitions; Q05)
