"dataset_key","match_column","match_value","worms_id","itis_id","scientific_name","rank","review","note"
"farallon_bird-mammal","species_code","GFSE",477319,,"Arctocephalus townsendi","Species","TRUE","WoRMS status: unaccepted"
"farallon_bird-mammal","species_code","MIWH",137087,,"Balaenoptera acutorostrata","Species","FALSE",""
"farallon_bird-mammal","species_code","SEWH",137088,,"Balaenoptera borealis","Species","FALSE",""
"farallon_bird-mammal","species_code","BLWH",137090,,"Balaenoptera musculus","Species","FALSE",""
"farallon_bird-mammal","species_code","FIWH",137091,,"Balaenoptera physalus","Species","FALSE",""
"farallon_bird-mammal","species_code","BBWH",242608,,"Berardius bairdii","Species","FALSE",""
"farallon_bird-mammal","species_code","NFSE",254997,,"Callorhinus ursinus","Species","FALSE",""
"farallon_bird-mammal","species_code","GRTU",137206,,"Chelonia mydas","Species","FALSE",""
"farallon_bird-mammal","species_code","LBCD",383816,,"Delphinus capensis","Species","TRUE","WoRMS status: nomen dubium"
"farallon_bird-mammal","species_code","CODO",137094,,"Delphinus delphis","Species","FALSE",""
"farallon_bird-mammal","species_code","SBCD",137094,,"Delphinus delphis","Species","FALSE",""
"farallon_bird-mammal","species_code","SEOT",242598,,"Enhydra lutris","Species","FALSE",""
"farallon_bird-mammal","species_code","GRWH",137112,,"Eschrichtius robustus","Species","FALSE",""
"farallon_bird-mammal","species_code","STSL",254999,,"Eumetopias jubatus","Species","FALSE",""
"farallon_bird-mammal","species_code","SFPW",137096,,"Globicephala macrorhynchus","Species","FALSE",""
"farallon_bird-mammal","species_code","PIWH",137017,,"Globicephala spp.","Species","TRUE","genus-level (Globicephala spp.)"
"farallon_bird-mammal","species_code","RIDO",137098,,"Grampus griseus","Species","FALSE",""
"farallon_bird-mammal","species_code","PSWH",137113,,"Kogia breviceps","Species","FALSE",""
"farallon_bird-mammal","species_code","PWSD",1571909,,"Lagenorhynchus obliquidens","Species","TRUE","WoRMS status: junior objective synonym"
"farallon_bird-mammal","species_code","RITU",220293,,"Lepidochelys olivacea","Species","FALSE",""
"farallon_bird-mammal","species_code","NRWD",254975,,"Lissodelphis borealis","Species","FALSE",""
"farallon_bird-mammal","species_code","HUWH",137092,,"Megaptera novaeangliae","Species","FALSE",""
"farallon_bird-mammal","species_code","NESE",255018,,"Mirounga angustirostris","Species","FALSE",""
"farallon_bird-mammal","species_code","KIWH",137102,,"Orcinus orca","Species","FALSE",""
"farallon_bird-mammal","species_code","HASE",137084,,"Phoca vitulina","Species","FALSE",""
"farallon_bird-mammal","species_code","HAPO",137117,,"Phocoena phocoena","Species","FALSE",""
"farallon_bird-mammal","species_code","DAPO",254987,,"Phocoenoides dalli","Species","FALSE",""
"farallon_bird-mammal","species_code","SPWH",137119,,"Physeter macrocephalus","Species","FALSE",""
"farallon_bird-mammal","species_code","FKWH",137104,,"Pseudorca crassidens","Species","FALSE",""
"farallon_bird-mammal","species_code","STDO",137107,,"Stenella coeruleoalba","Species","FALSE",""
"farallon_bird-mammal","species_code","BODO",137111,,"Tursiops truncatus","Species","FALSE",""
"farallon_bird-mammal","species_code","CSLI",255003,,"Zalophus californianus","Species","FALSE",""
"farallon_bird-mammal","species_code","CASL",255003,,"Zalophus californianus","Species","FALSE",""
"farallon_bird-mammal","species_code","CBWH",137127,,"Ziphius cavirostris","Species","FALSE",""
"calcofi_phytoplankton","taxa","diatom, centric",148899,,"Bacillariophyceae","Class","FALSE","centric diatoms -> class"
"calcofi_phytoplankton","taxa","diatom, pennate",148899,,"Bacillariophyceae","Class","FALSE","pennate diatoms -> class"
"calcofi_phytoplankton","taxa","dinoflagellate, thecate",19542,,"Dinophyceae","Class","FALSE","thecate dinos -> class"
"calcofi_phytoplankton","taxa","dinoflagellate, athecate",19542,,"Dinophyceae","Class","FALSE","athecate dinos -> class"
"calcofi_phytoplankton","taxa","coccolithophore",592906,,"Coccolithophyceae","Class","FALSE","coccolithophores -> class"
"calcofi_phytoplankton","taxa","silicoflagellate",146232,,"Dictyochophyceae","Class","FALSE","silicoflagellates -> class"
