tbl_old,tbl_new,fld_old,fld_new,type_old,type_new,order_old,order_new,fld_description,units,notes,mutation
Sheet1,mesopelagic_fish_tow,CruiseID,cruise_key,INTEGER,VARCHAR,1,1,Natural cruise key in YYYY-MM-NODC form.,,"Source is bare YYMM (e.g. 1202). Ship is RV New Horizon (NODC 32NM) for all 7 cruises 1001/1008/1011/1101/1108/1110/1202 -- established during drafting by a one-time manual cross-check against calcofi_bottle Cast table (cruise+station+lat/lon overlap), hardcoded here as a constant, not a runtime join.","paste0('20', substr(CruiseID,1,2), '-', substr(CruiseID,3,4), '-32NM')"
Sheet1,mesopelagic_fish_tow,Tow,tow_number,INTEGER,INTEGER,2,2,Sequential MOHT tow number within the cruise.,,,
Sheet1,mesopelagic_fish_tow,Station,station_raw,DOUBLE,VARCHAR,3,11,"Packed line/station value, kept verbatim as source-provided -- NOT decomposed into site_key.",,"Decomposition is unreliable: CalCOFI standard lines are non-integer (93.3, 86.7, 76.7, not 93/87/77) and some stations are 3-digit with a trailing zero lost to Excel float storage (source string '93.120' vs float 93.11, ambiguous as station 120 vs 11). site_key is resolved separately via a spatial match instead (see the site_key row below and questions.csv Q05, RESOLVED) -- this field stays as the verbatim source value for auditing, never itself decomposed.",as.character(Station)
Sheet1,mesopelagic_fish_tow,LatFinal,latitude,DOUBLE,DOUBLE,4,4,Latitude in decimal degrees WGS84.,decimal_degrees,,
Sheet1,mesopelagic_fish_tow,LongFinal,longitude,DOUBLE,DOUBLE,5,5,Longitude in decimal degrees WGS84 (source is positive west; negate).,decimal_degrees,Source stores unsigned degrees-west; must negate to standard WGS84 sign.,-1 * LongFinal
Sheet1,mesopelagic_fish_tow,Month,tow_month,INTEGER,INTEGER,6,6,"Calendar month of the tow, as provided by the source.",,"Retained for QA alongside the new datetime_start_utc (Q03 RESOLVED via the workbook's 'Original' sheet -- see the Time row below and questions.csv Q03).",as.integer(Month)
Sheet1,mesopelagic_fish_tow,Year,tow_year,INTEGER,INTEGER,7,7,"Calendar year of the tow, as provided by the source.",,"Retained for QA alongside datetime_start_utc, see tow_month note",as.integer(Year)
Sheet1,mesopelagic_fish_tow,Time,tow_hour,DOUBLE,INTEGER,8,8,"Tow hour (24hr clock), split from source HH.MM Time value (e.g. 23.57 -> hour 23).",,"Confirmed HH.MM format against source Header Definitions sheet. Retained for QA -- datetime_start_utc (below) is now the authoritative timing field, sourced from 'Original' sheet's Start hour except for cruise 1110 (unresolved +1hr conflict, defaults to this Sheet1 value -- see questions.csv Q03/Q06).",as.integer(floor(Time))
Sheet1,mesopelagic_fish_tow,Time,tow_minute,DOUBLE,INTEGER,8,9,"Tow minute, split from source HH.MM Time value (e.g. 23.57 -> minute 57).",,"Retained for QA only -- confirmed unreliable standalone: 21 of 102 rows have a single-digit-minute decimal-entry typo in this field specifically (e.g. '12.5' meant 12:05, parses to minute=50). datetime_start_utc uses 'Original' sheet's Start Minute instead, which does not have this defect. See questions.csv Q03.",as.integer(round((Time-floor(Time))*100))
Original,mesopelagic_fish_tow,Date of Tow,date_of_tow,DATE,DATE,,,"Calendar date of the tow, from the workbook's 'Original' (raw field log) sheet -- not present in Sheet1 at all.",,"Resolves Q03 (previously blocked: no Day column anywhere thought to exist in the source). Joined to Sheet1 by CruiseID+Tow.",
Original,mesopelagic_fish_tow,Start hour;Start Minute,tow_hour;tow_minute (via datetime_start_utc),INTEGER,INTEGER,,,"Tow start time as separate integer fields, from the 'Original' sheet.",,"More reliable than Sheet1's packed HH.MM Time -- see tow_minute note above. Used directly except for cruise 1110's hour, where an unresolved +1hr conflict against Sheet1 exists (questions.csv Q06, new).",
Original,mesopelagic_fish_tow,Time Zone,(used to derive datetime_start_utc, not stored),VARCHAR,,,,"Explicit PST/PDT per tow from the 'Original' sheet -- genuinely DST-aware, not assumed.",,"Not stored as its own column; used only to cross-validate the America/Los_Angeles tz conversion (agreed in every row sampled). Resolves the UTC-vs-local half of Q03.",
